sep=;
Pelvis Position;COM;Instant Linear Accel;Accel Error;Total Energy
0.055,0.7,-0.075;0.04426,0.8169,-0.04357;19.28,-76.67,72;0;1.6E+05
0.055,0.4,-0.015;0.04294,0.5199,0.01042;16.19,-92.93,59.28;0;1.633E+05
0.055,0.46,-0.015;0.04266,0.5813,0.009819;16.76,-98.44,56.5;0;1.647E+05
0.055,0.52,-0.015;0.04281,0.641,0.01021;17.66,-99.73,58.45;0;1.642E+05
0.055,0.58,-0.015;0.04317,0.6999,0.01089;18.15,-93.93,60.17;0;1.632E+05
0.055,0.64,-0.015;0.04364,0.7581,0.01165;17.61,-83.66,60.55;0;1.619E+05
0.055,0.7,-0.015;0.04417,0.8161,0.01228;15.91,-71.44,58.72;0;1.605E+05
0.055,0.4,0.045;0.04317,0.5185,0.06446;13.19,-95.66,49.89;0;1.64E+05
0.055,0.46,0.045;0.04308,0.5795,0.06285;14.55,-100.5,44.12;0;1.658E+05
0.055,0.52,0.045;0.04329,0.639,0.06304;16.05,-101,45.35;0;1.654E+05
0.055,0.58,0.045;0.04366,0.6977,0.06378;16.54,-95.81,48.4;0;1.641E+05
0.055,0.64,0.045;0.04412,0.7558,0.06463;15.5,-85.59,50.19;0;1.624E+05
0.055,0.7,0.045;0.04465,0.8137,0.06537;12.72,-72.87,49.55;0;1.608E+05
0.115,0.4,-0.075;0.09866,0.5198,-0.05083;8.514,-79.76,51.24;0;1.638E+05
0.115,0.46,-0.075;0.09625,0.5827,-0.04814;2.465,-107.9,67.11;0;1.642E+05
0.115,0.52,-0.075;0.09575,0.6425,-0.04703;1.835,-106.9,70.44;0;1.633E+05
0.115,0.58,-0.075;0.09604,0.7008,-0.04631;5.2,-102.1,75.94;0;1.636E+05
0.115,0.64,-0.075;0.09652,0.759,-0.04521;10.05,-86.98,73.25;0;1.613E+05
0.115,0.7,-0.075;0.09698,0.8171,-0.04398;12.19,-72.26,69.44;0;1.588E+05
0.115,0.4,-0.015;0.09418,0.5206,0.009903;7.51,-88.62,58.07;0;1.613E+05
0.115,0.46,-0.015;0.09367,0.5819,0.009211;7.268,-94.31,55.76;0;1.622E+05
0.115,0.52,-0.015;0.09405,0.6415,0.009617;8.525,-95.01,57.68;0;1.618E+05
0.115,0.58,-0.015;0.09478,0.7003,0.01029;10.12,-89.58,59.06;0;1.61E+05
0.115,0.64,-0.015;0.09565,0.7585,0.01106;10.77,-79.78,59;0;1.6E+05
0.115,0.7,-0.015;0.09656,0.8163,0.0117;10.11,-68.19,56.98;0;1.59E+05
0.115,0.4,0.045;0.09425,0.5192,0.06394;5.441,-91.81,49.28;0;1.616E+05
0.115,0.46,0.045;0.094,0.5802,0.06233;5.998,-96.74,44;0;1.631E+05
0.115,0.52,0.045;0.09449,0.6396,0.06253;7.957,-97.24,45.36;0;1.627E+05
0.115,0.58,0.045;0.09525,0.6981,0.06324;9.441,-92.12,47.91;0;1.618E+05
0.115,0.64,0.045;0.09612,0.7562,0.0641;9.501,-82.17,49.24;0;1.605E+05
0.115,0.7,0.045;0.09704,0.814,0.06485;7.752,-69.91,48.4;0;1.593E+05
